verb	frequency
is	1491
be	890
are	868
was	600
have	538
were	433
do	343
has	255
used	249
use	246
using	244
make	216
been	183
had	150
see	150
retrieved	145
help	136
based	134
find	134
including	116
’s	110
get	109
found	108
does	107
provide	100
made	99
need	98
being	92
want	91
improve	89
create	88
did	85
making	85
think	84
understand	84
read	83
work	78
centered	76
working	76
creating	74
include	73
know	73
created	72
doing	66
included	66
take	66
needed	59
reviewed	57
asked	56
identified	56
consider	55
given	53
allows	52
look	52
build	51
collected	51
identify	51
’re	51
ask	50
published	50
develop	49
keep	49
conducted	48
search	48
done	47
go	47
improving	47
provides	47
focused	46
following	46
test	46
applied	45
become	45
meet	45
offer	45
wanted	45
designed	44
set	44
learn	43
covered	42
click	41
looking	41
complete	40
contact	40
determine	40
allowed	39
asking	39
building	39
ensure	39
focus	39
hosted	39
licensed	39
start	39
testing	39
describe	38
developing	38
feel	38
having	38
makes	38
change	37
helped	37
provided	37
’ve	37
''s	36
inform	36
interact	36
allow	35
like	35
related	35
address	34
includes	34
increased	34
known	34
show	34
understanding	34
come	33
considered	33
finding	33
tested	33
going	32
noted	32
begin	31
existing	31
providing	31
recommend	31
run	31
taking	31
called	30
developed	30
encourage	30
getting	30
helps	30
involved	30
collect	29
decided	29
serve	29
share	29
added	28
continue	28
gather	28
put	28
requires	28
suggest	28
uses	28
collecting	27
helping	27
lead	27
move	27
needs	27
required	27
seen	27
shared	27
thinking	27
bring	26
led	26
offers	26
presented	26
showing	26
try	26
trying	26
''ve	25
applying	25
becomes	25
believe	25
driven	25
ensuring	25
improved	25
learning	25
note	25
add	24
agree	24
am	24
avoid	24
choose	24
comes	24
described	24
digitized	24
gathered	24
moving	24
writing	24
built	23
engage	23
means	23
plan	23
searching	23
selected	23
started	23
took	23
works	23
’m	23
allowing	22
apply	22
check	22
conducting	22
defined	22
discuss	22
focusing	22
identifying	22
implemented	22
measure	22
perceived	22
reflect	22
spend	22
support	22
takes	22
talk	22
call	21
explore	21
increase	21
indicate	21
mentioned	21
running	21
taken	21
written	21
conduct	20
evaluating	20
felt	20
gathering	20
reading	20
reduced	20
reducing	20
starting	20
according	19
decide	19
expect	19
give	19
learned	19
limited	19
observed	19
perform	19
tell	19
worked	19
access	18
assess	18
assigned	18
came	18
depending	18
designing	18
engaging	18
exploring	18
follow	18
implementing	18
incorporated	18
introduce	18
involves	18
suggests	18
analyze	17
benefit	17
completed	17
define	17
implement	17
indicates	17
performing	17
